city,pairs,dist.hours.distances,hue.dist
Albuquerque,|9 - 10|,1,0.00782019923176313
Albuquerque,|9 - 11|,2,0.0138610016820407
Albuquerque,|9 - 12|,3,0.00877736146104935
Albuquerque,|9 - 13|,4,0.00985353740275446
Albuquerque,|9 - 14|,5,0.0182851644648097
Albuquerque,|9 - 15|,6,0.0119785677578355
Albuquerque,|9 - 16|,7,0.015534081004407
Albuquerque,|9 - 17|,8,0.0113566465558194
Albuquerque,|9 - 18|,9,0.0180625627444464
Albuquerque,|9 - 19|,10,0.0174080892831869
Albuquerque,|9 - 20|,11,0.0153824088165289
Albuquerque,|9 - 21|,12,0.0202472840454466
Albuquerque,|9 - 22|,11,0.0319184421032563
Albuquerque,|9 - 23|,10,0.0334598232092616
Anaheim,|0 - 1|,1,0.00638287395545077
Anaheim,|0 - 10|,10,0.0362322586973371
Anaheim,|0 - 11|,11,0.0303666446108286
Anaheim,|0 - 12|,12,0.0368764291259
Anaheim,|0 - 13|,11,0.0433725643481191
Anaheim,|0 - 14|,10,0.0417876219613977
Anaheim,|0 - 15|,9,0.0397605940235584
Anaheim,|0 - 16|,8,0.0345504323425736
Anaheim,|0 - 17|,7,0.0443970526103216
Anaheim,|0 - 18|,6,0.0459774429879481
Anaheim,|0 - 19|,5,0.0340509981913335
Anaheim,|0 - 2|,2,0.00872581836853729
Anaheim,|0 - 20|,4,0.0266389792953951
Anaheim,|0 - 21|,3,0.0207873369229135
Anaheim,|0 - 22|,2,0.00968396836730658
Anaheim,|0 - 23|,1,0.00604713912837265
Anaheim,|0 - 3|,3,0.0164711526864428
Anaheim,|0 - 4|,4,0.0346741228312679
Anaheim,|0 - 5|,5,0.0207817568127857
Anaheim,|0 - 6|,6,0.0168074869370509
Anaheim,|0 - 7|,7,0.0294750807592521
Anaheim,|0 - 8|,8,0.0247252164866705
Anaheim,|0 - 9|,9,0.0293884638669482
Anaheim,|1 - 10|,9,0.0404837851831212
Anaheim,|1 - 11|,10,0.0346601221959201
Anaheim,|1 - 12|,11,0.0411409800867407
Anaheim,|1 - 13|,12,0.0476468736314104
Anaheim,|1 - 14|,11,0.0461815347383064
Anaheim,|1 - 15|,10,0.0440383478756356
Anaheim,|1 - 16|,9,0.0389305234157735
Anaheim,|1 - 17|,8,0.0487442440182042
Anaheim,|1 - 18|,7,0.0504295642049363
Anaheim,|1 - 19|,6,0.0386520670624396
Anaheim,|1 - 2|,1,0.0101511786085183
Anaheim,|1 - 20|,5,0.0312926003737209
Anaheim,|1 - 21|,4,0.0252775263750394
Anaheim,|1 - 22|,3,0.0143772472925707
Anaheim,|1 - 23|,2,0.0104580557745574
